theta1,theta2,x,y
-8.583984375000000000e+01,5.859375000000000000e-01,5.300000000000000000e+02,2.300000000000000000e+02
-7.412109375000000000e+01,2.929687500000000000e-01,5.170000000000000000e+02,1.880000000000000000e+02
-5.507812500000000000e+01,2.929687500000000000e-01,4.790000000000000000e+02,1.260000000000000000e+02
-3.486328125000000000e+01,2.929687500000000000e-01,4.220000000000000000e+02,7.600000000000000000e+01
-1.406250000000000000e+01,2.929687500000000000e-01,3.510000000000000000e+02,5.000000000000000000e+01
7.031250000000000000e+00,2.929687500000000000e-01,2.720000000000000000e+02,4.800000000000000000e+01
2.724609375000000000e+01,2.929687500000000000e-01,1.970000000000000000e+02,6.400000000000000000e+01
4.746093750000000000e+01,2.929687500000000000e-01,1.410000000000000000e+02,1.060000000000000000e+02
6.738281250000000000e+01,2.929687500000000000e-01,1.040000000000000000e+02,1.660000000000000000e+02
8.583984375000000000e+01,2.929687500000000000e-01,9.400000000000000000e+01,2.360000000000000000e+02
-8.583984375000000000e+01,7.324218750000000000e+00,5.280000000000000000e+02,2.280000000000000000e+02
-7.412109375000000000e+01,7.324218750000000000e+00,5.140000000000000000e+02,1.860000000000000000e+02
-5.507812500000000000e+01,7.324218750000000000e+00,4.770000000000000000e+02,1.220000000000000000e+02
-3.515625000000000000e+01,7.324218750000000000e+00,4.200000000000000000e+02,7.200000000000000000e+01
-1.406250000000000000e+01,7.324218750000000000e+00,3.500000000000000000e+02,4.600000000000000000e+01
7.031250000000000000e+00,7.324218750000000000e+00,2.700000000000000000e+02,4.400000000000000000e+01
2.753906250000000000e+01,7.324218750000000000e+00,1.940000000000000000e+02,6.200000000000000000e+01
4.775390625000000000e+01,7.324218750000000000e+00,1.370000000000000000e+02,1.040000000000000000e+02
6.738281250000000000e+01,7.324218750000000000e+00,1.020000000000000000e+02,1.660000000000000000e+02
8.583984375000000000e+01,7.617187500000000000e+00,9.000000000000000000e+01,2.360000000000000000e+02
-8.583984375000000000e+01,1.699218750000000000e+01,5.230000000000000000e+02,2.280000000000000000e+02
-7.382812500000000000e+01,1.699218750000000000e+01,5.110000000000000000e+02,1.860000000000000000e+02
-5.507812500000000000e+01,1.728515625000000000e+01,4.730000000000000000e+02,1.220000000000000000e+02
-3.486328125000000000e+01,1.728515625000000000e+01,4.160000000000000000e+02,7.200000000000000000e+01
-1.406250000000000000e+01,1.728515625000000000e+01,3.480000000000000000e+02,4.600000000000000000e+01
7.031250000000000000e+00,1.728515625000000000e+01,2.700000000000000000e+02,4.400000000000000000e+01
2.724609375000000000e+01,1.757812500000000000e+01,1.940000000000000000e+02,6.000000000000000000e+01
4.746093750000000000e+01,1.757812500000000000e+01,1.360000000000000000e+02,1.040000000000000000e+02
6.738281250000000000e+01,1.757812500000000000e+01,1.000000000000000000e+02,1.660000000000000000e+02
8.613281250000000000e+01,1.757812500000000000e+01,9.000000000000000000e+01,2.360000000000000000e+02
-8.583984375000000000e+01,2.666015625000000000e+01,5.140000000000000000e+02,2.260000000000000000e+02
-7.382812500000000000e+01,2.695312500000000000e+01,5.020000000000000000e+02,1.860000000000000000e+02
-5.507812500000000000e+01,2.695312500000000000e+01,4.640000000000000000e+02,1.240000000000000000e+02
-3.486328125000000000e+01,2.695312500000000000e+01,4.110000000000000000e+02,7.400000000000000000e+01
-1.406250000000000000e+01,2.695312500000000000e+01,3.460000000000000000e+02,4.600000000000000000e+01
6.738281250000000000e+00,2.724609375000000000e+01,2.710000000000000000e+02,4.400000000000000000e+01
2.724609375000000000e+01,2.724609375000000000e+01,1.970000000000000000e+02,6.200000000000000000e+01
4.687500000000000000e+01,2.724609375000000000e+01,1.380000000000000000e+02,1.040000000000000000e+02
6.708984375000000000e+01,2.724609375000000000e+01,1.010000000000000000e+02,1.660000000000000000e+02
8.583984375000000000e+01,2.724609375000000000e+01,9.000000000000000000e+01,2.340000000000000000e+02
-8.583984375000000000e+01,3.574218750000000000e+01,5.050000000000000000e+02,2.260000000000000000e+02
-7.382812500000000000e+01,3.574218750000000000e+01,4.930000000000000000e+02,1.840000000000000000e+02
-5.507812500000000000e+01,3.603515625000000000e+01,4.590000000000000000e+02,1.220000000000000000e+02
-3.486328125000000000e+01,3.603515625000000000e+01,4.060000000000000000e+02,7.200000000000000000e+01
-1.376953125000000000e+01,3.603515625000000000e+01,3.410000000000000000e+02,4.600000000000000000e+01
6.738281250000000000e+00,3.662109375000000000e+01,2.720000000000000000e+02,4.400000000000000000e+01
2.724609375000000000e+01,3.662109375000000000e+01,1.990000000000000000e+02,7.600000000000000000e+01
4.658203125000000000e+01,3.662109375000000000e+01,1.400000000000000000e+02,1.020000000000000000e+02
6.650390625000000000e+01,3.662109375000000000e+01,1.020000000000000000e+02,1.660000000000000000e+02
8.583984375000000000e+01,3.662109375000000000e+01,9.200000000000000000e+01,2.320000000000000000e+02
-8.583984375000000000e+01,4.570312500000000000e+01,4.910000000000000000e+02,2.240000000000000000e+02
-7.382812500000000000e+01,4.570312500000000000e+01,4.800000000000000000e+02,1.840000000000000000e+02
-5.419921875000000000e+01,4.570312500000000000e+01,4.480000000000000000e+02,1.200000000000000000e+02
-3.515625000000000000e+01,4.599609375000000000e+01,4.000000000000000000e+02,7.600000000000000000e+01
-1.347656250000000000e+01,4.628906250000000000e+01,3.370000000000000000e+02,5.200000000000000000e+01
6.738281250000000000e+00,4.628906250000000000e+01,2.720000000000000000e+02,5.000000000000000000e+01
2.695312500000000000e+01,4.658203125000000000e+01,1.980000000000000000e+02,6.600000000000000000e+01
4.658203125000000000e+01,4.658203125000000000e+01,1.440000000000000000e+02,1.040000000000000000e+02
6.650390625000000000e+01,4.658203125000000000e+01,1.070000000000000000e+02,1.660000000000000000e+02
8.583984375000000000e+01,4.628906250000000000e+01,9.700000000000000000e+01,2.320000000000000000e+02
-8.554687500000000000e+01,5.507812500000000000e+01,4.730000000000000000e+02,2.240000000000000000e+02
-7.324218750000000000e+01,5.537109375000000000e+01,4.640000000000000000e+02,1.840000000000000000e+02
-5.390625000000000000e+01,5.537109375000000000e+01,4.350000000000000000e+02,1.260000000000000000e+02
-3.457031250000000000e+01,5.537109375000000000e+01,3.930000000000000000e+02,8.400000000000000000e+01
-1.347656250000000000e+01,5.537109375000000000e+01,3.350000000000000000e+02,6.200000000000000000e+01
6.738281250000000000e+00,5.537109375000000000e+01,2.740000000000000000e+02,6.200000000000000000e+01
2.666015625000000000e+01,5.537109375000000000e+01,2.050000000000000000e+02,7.400000000000000000e+01
4.658203125000000000e+01,5.537109375000000000e+01,1.520000000000000000e+02,1.100000000000000000e+02
6.621093750000000000e+01,5.537109375000000000e+01,1.180000000000000000e+02,1.680000000000000000e+02
8.554687500000000000e+01,5.537109375000000000e+01,1.100000000000000000e+02,2.340000000000000000e+02
-8.554687500000000000e+01,6.474609375000000000e+01,4.500000000000000000e+02,2.240000000000000000e+02
-7.265625000000000000e+01,6.474609375000000000e+01,4.390000000000000000e+02,1.860000000000000000e+02
-5.390625000000000000e+01,6.474609375000000000e+01,4.170000000000000000e+02,1.340000000000000000e+02
-3.457031250000000000e+01,6.474609375000000000e+01,3.800000000000000000e+02,9.800000000000000000e+01
-1.347656250000000000e+01,6.503906250000000000e+01,3.300000000000000000e+02,8.800000000000000000e+01
6.445312500000000000e+00,6.533203125000000000e+01,2.750000000000000000e+02,7.800000000000000000e+01
2.666015625000000000e+01,6.533203125000000000e+01,2.130000000000000000e+02,8.800000000000000000e+01
4.628906250000000000e+01,6.503906250000000000e+01,1.650000000000000000e+02,1.220000000000000000e+02
6.591796875000000000e+01,6.533203125000000000e+01,1.360000000000000000e+02,1.720000000000000000e+02
8.525390625000000000e+01,6.533203125000000000e+01,1.300000000000000000e+02,2.320000000000000000e+02
-8.496093750000000000e+01,7.470703125000000000e+01,4.230000000000000000e+02,2.240000000000000000e+02
-7.236328125000000000e+01,7.470703125000000000e+01,4.160000000000000000e+02,1.920000000000000000e+02
-5.361328125000000000e+01,7.470703125000000000e+01,3.920000000000000000e+02,1.480000000000000000e+02
-3.457031250000000000e+01,7.500000000000000000e+01,3.630000000000000000e+02,1.160000000000000000e+02
-1.347656250000000000e+01,7.500000000000000000e+01,3.240000000000000000e+02,1.020000000000000000e+02
6.445312500000000000e+00,7.500000000000000000e+01,2.770000000000000000e+02,1.000000000000000000e+02
2.666015625000000000e+01,7.500000000000000000e+01,2.390000000000000000e+02,1.160000000000000000e+02
4.628906250000000000e+01,7.500000000000000000e+01,1.820000000000000000e+02,1.360000000000000000e+02
6.562500000000000000e+01,7.500000000000000000e+01,1.580000000000000000e+02,1.780000000000000000e+02
8.466796875000000000e+01,7.500000000000000000e+01,1.540000000000000000e+02,2.320000000000000000e+02
-8.496093750000000000e+01,8.408203125000000000e+01,3.970000000000000000e+02,2.260000000000000000e+02
-7.207031250000000000e+01,8.408203125000000000e+01,3.890000000000000000e+02,1.980000000000000000e+02
-5.332031250000000000e+01,8.408203125000000000e+01,3.690000000000000000e+02,1.600000000000000000e+02
-3.457031250000000000e+01,8.437500000000000000e+01,3.460000000000000000e+02,1.360000000000000000e+02
-1.318359375000000000e+01,8.437500000000000000e+01,3.150000000000000000e+02,1.280000000000000000e+02
6.445312500000000000e+00,8.437500000000000000e+01,2.800000000000000000e+02,1.280000000000000000e+02
2.578125000000000000e+01,8.437500000000000000e+01,2.370000000000000000e+02,1.320000000000000000e+02
4.599609375000000000e+01,8.437500000000000000e+01,2.030000000000000000e+02,1.520000000000000000e+02
6.562500000000000000e+01,8.437500000000000000e+01,1.830000000000000000e+02,1.880000000000000000e+02
