theta1,theta2,x,y,r
-8.994140625000000000e+01,-9.000000000000000000e+01,1.840588226318359375e+02,1.893823547363281250e+02,2.300000000000000000e+01
-7.675781250000000000e+01,-5.859375000000000000e-01,1.962500000000000000e+02,1.560833282470703125e+02,2.300000000000000000e+01
-5.830078125000000000e+01,-5.859375000000000000e-01,2.218035736083984375e+02,1.128928604125976562e+02,2.500000000000000000e+01
-3.691406250000000000e+01,-5.859375000000000000e-01,2.635000000000000000e+02,7.050000000000000000e+01,2.700000000000000000e+01
-1.494140625000000000e+01,-5.859375000000000000e-01,3.185000000000000000e+02,3.800000000000000000e+01,3.100000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.789062500000000000e+01,7.324218750000000000e+00,2.111935424804687500e+02,1.737096710205078125e+02,2.600000000000000000e+01
-7.675781250000000000e+01,7.324218750000000000e+00,2.276958770751953125e+02,1.541921997070312500e+02,2.600000000000000000e+01
-5.800781250000000000e+01,7.324218750000000000e+00,2.580000000000000000e+02,1.225000000000000000e+02,2.700000000000000000e+01
-3.691406250000000000e+01,7.324218750000000000e+00,2.871390380859375000e+02,9.556925201416015625e+01,2.900000000000000000e+01
-1.552734375000000000e+01,7.617187500000000000e+00,3.225000000000000000e+02,8.600000000000000000e+01,3.100000000000000000e+01
6.738281250000000000e+00,7.617187500000000000e+00,3.395000000000000000e+02,4.000000000000000000e+01,4.000000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-8.789062500000000000e+01,1.728515625000000000e+01,9.700000000000000000e+01,1.275000000000000000e+02,4.000000000000000000e+01
-7.675781250000000000e+01,1.728515625000000000e+01,1.425000000000000000e+02,1.168846130371093750e+02,3.900000000000000000e+01
-5.800781250000000000e+01,1.728515625000000000e+01,1.897228851318359375e+02,8.469277191162109375e+01,3.800000000000000000e+01
-3.691406250000000000e+01,1.728515625000000000e+01,2.180000000000000000e+02,6.350000000000000000e+01,4.000000000000000000e+01
-1.494140625000000000e+01,1.757812500000000000e+01,2.624926757812500000e+02,5.926280975341796875e+01,4.200000000000000000e+01
6.738281250000000000e+00,1.757812500000000000e+01,2.832118225097656250e+02,5.341874313354492188e+01,4.500000000000000000e+01
2.783203125000000000e+01,1.757812500000000000e+01,3.070000000000000000e+02,8.050000000000000000e+01,4.300000000000000000e+01
4.775390625000000000e+01,1.757812500000000000e+01,3.335000000000000000e+02,1.930000000000000000e+02,3.100000000000000000e+01
6.767578125000000000e+01,1.757812500000000000e+01,3.245000000000000000e+02,2.780000000000000000e+02,2.000000000000000000e+01
8.671875000000000000e+01,1.757812500000000000e+01,3.068888854980468750e+02,2.601111145019531250e+02,1.900000000000000000e+01
-8.759765625000000000e+01,2.724609375000000000e+01,1.805094299316406250e+02,1.067987442016601562e+02,4.200000000000000000e+01
-7.675781250000000000e+01,2.724609375000000000e+01,1.960000000000000000e+02,1.050000000000000000e+02,4.200000000000000000e+01
-5.712890625000000000e+01,2.724609375000000000e+01,2.089525451660156250e+02,1.078686523437500000e+02,4.200000000000000000e+01
-3.691406250000000000e+01,2.724609375000000000e+01,2.480000000000000000e+02,1.015000000000000000e+02,4.200000000000000000e+01
-1.494140625000000000e+01,2.753906250000000000e+01,3.067161865234375000e+02,1.800054321289062500e+02,3.700000000000000000e+01
6.738281250000000000e+00,2.753906250000000000e+01,2.834606323242187500e+02,1.690836791992187500e+02,3.800000000000000000e+01
2.783203125000000000e+01,2.753906250000000000e+01,2.841799926757812500e+02,2.619639892578125000e+02,2.800000000000000000e+01
4.775390625000000000e+01,2.753906250000000000e+01,2.655000000000000000e+02,2.595000000000000000e+02,2.800000000000000000e+01
6.767578125000000000e+01,2.753906250000000000e+01,2.438043518066406250e+02,3.750652160644531250e+02,8.000000000000000000e+00
8.671875000000000000e+01,2.753906250000000000e+01,2.229146270751953125e+02,3.051341552734375000e+02,9.000000000000000000e+00
-8.759765625000000000e+01,3.662109375000000000e+01,1.380833282470703125e+02,7.870833587646484375e+01,5.300000000000000000e+01
-7.646484375000000000e+01,3.662109375000000000e+01,6.650000000000000000e+01,5.006481552124023438e+01,6.000000000000000000e+01
-5.712890625000000000e+01,3.691406250000000000e+01,2.311026153564453125e+02,9.129476165771484375e+01,5.100000000000000000e+01
-3.662109375000000000e+01,3.691406250000000000e+01,2.161696777343750000e+02,8.793438720703125000e+01,5.300000000000000000e+01
-1.494140625000000000e+01,3.691406250000000000e+01,3.120000000000000000e+02,2.475000000000000000e+02,3.900000000000000000e+01
6.738281250000000000e+00,3.691406250000000000e+01,2.841056823730468750e+02,3.182642211914062500e+02,3.200000000000000000e+01
2.753906250000000000e+01,3.691406250000000000e+01,2.359527740478515625e+02,3.428322448730468750e+02,2.800000000000000000e+01
4.804687500000000000e+01,3.720703125000000000e+01,1.711272277832031250e+02,1.948951873779296875e+02,4.000000000000000000e+01
6.767578125000000000e+01,3.691406250000000000e+01,1.659550323486328125e+02,2.359074096679687500e+02,3.200000000000000000e+01
8.671875000000000000e+01,3.691406250000000000e+01,1.436629333496093750e+02,1.958930816650390625e+02,3.100000000000000000e+01
-8.730468750000000000e+01,4.658203125000000000e+01,2.590000000000000000e+02,8.650000000000000000e+01,6.100000000000000000e+01
-7.529296875000000000e+01,4.628906250000000000e+01,2.915000000000000000e+02,1.095000000000000000e+02,5.900000000000000000e+01
-5.683593750000000000e+01,4.658203125000000000e+01,3.033689880371093750e+02,1.455010223388671875e+02,5.600000000000000000e+01
-3.632812500000000000e+01,4.658203125000000000e+01,3.002336425781250000e+02,2.180747680664062500e+02,5.300000000000000000e+01
-1.494140625000000000e+01,4.658203125000000000e+01,3.114162597656250000e+02,3.423039550781250000e+02,4.300000000000000000e+01
6.445312500000000000e+00,4.687500000000000000e+01,2.485414886474609375e+02,3.619614562988281250e+02,3.600000000000000000e+01
2.753906250000000000e+01,4.716796875000000000e+01,1.526154327392578125e+02,2.597131042480468750e+02,4.300000000000000000e+01
4.775390625000000000e+01,4.687500000000000000e+01,1.087708587646484375e+02,3.105950012207031250e+02,3.200000000000000000e+01
6.738281250000000000e+01,4.687500000000000000e+01,7.784172821044921875e+01,2.436906433105468750e+02,3.300000000000000000e+01
8.642578125000000000e+01,4.687500000000000000e+01,8.214393615722656250e+01,1.219652633666992188e+02,4.500000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-7.500000000000000000e+01,5.595703125000000000e+01,2.405000000000000000e+02,5.953149795532226562e+01,6.800000000000000000e+01
-5.683593750000000000e+01,5.595703125000000000e+01,2.459237976074218750e+02,1.027434844970703125e+02,6.600000000000000000e+01
-3.544921875000000000e+01,5.595703125000000000e+01,2.371043548583984375e+02,1.548434753417968750e+02,6.600000000000000000e+01
-1.435546875000000000e+01,5.625000000000000000e+01,1.978299865722656250e+02,2.499104614257812500e+02,5.400000000000000000e+01
6.445312500000000000e+00,5.625000000000000000e+01,1.957487335205078125e+02,3.833807067871093750e+02,4.200000000000000000e+01
2.753906250000000000e+01,5.683593750000000000e+01,9.157331848144531250e+01,3.377029724121093750e+02,4.000000000000000000e+01
4.746093750000000000e+01,5.683593750000000000e+01,4.839393997192382812e+01,2.982121276855468750e+02,3.700000000000000000e+01
6.738281250000000000e+01,5.683593750000000000e+01,3.133884239196777344e+01,1.955330505371093750e+02,4.100000000000000000e+01
8.613281250000000000e+01,5.683593750000000000e+01,2.323913002014160156e+01,1.137173919677734375e+02,5.400000000000000000e+01
-8.613281250000000000e+01,6.591796875000000000e+01,2.085000000000000000e+02,1.230459785461425781e+01,7.600000000000000000e+01
-7.470703125000000000e+01,6.562500000000000000e+01,2.703027648925781250e+02,2.552505493164062500e+01,8.400000000000000000e+01
-5.625000000000000000e+01,6.562500000000000000e+01,3.043966674804687500e+02,1.212929306030273438e+02,8.600000000000000000e+01
-3.544921875000000000e+01,6.591796875000000000e+01,1.995540313720703125e+02,2.072686920166015625e+02,7.500000000000000000e+01
-1.406250000000000000e+01,6.621093750000000000e+01,1.983481750488281250e+02,3.773532409667968750e+02,6.600000000000000000e+01
6.445312500000000000e+00,6.621093750000000000e+01,1.268329086303710938e+02,5.706907348632812500e+02,5.000000000000000000e+01
2.724609375000000000e+01,6.650390625000000000e+01,3.400000000000000000e+01,5.220000000000000000e+02,3.900000000000000000e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
