theta1,theta2,x,y
-8.613281250000000000e+01,5.859375000000000000e-01,5.450000000000000000e+02,1.720000000000000000e+02
-7.382812500000000000e+01,2.929687500000000000e-01,5.330000000000000000e+02,1.260000000000000000e+02
-5.507812500000000000e+01,2.929687500000000000e-01,3.880000000000000000e+02,3.560000000000000000e+02
-3.486328125000000000e+01,2.929687500000000000e-01,4.320000000000000000e+02,0.000000000000000000e+00
-1.347656250000000000e+01,2.929687500000000000e-01,3.890000000000000000e+02,3.560000000000000000e+02
7.031250000000000000e+00,2.929687500000000000e-01,3.890000000000000000e+02,3.560000000000000000e+02
2.753906250000000000e+01,2.929687500000000000e-01,3.890000000000000000e+02,3.560000000000000000e+02
4.746093750000000000e+01,2.929687500000000000e-01,1.230000000000000000e+02,3.400000000000000000e+01
6.650390625000000000e+01,2.929687500000000000e-01,8.700000000000000000e+01,1.020000000000000000e+02
8.583984375000000000e+01,2.929687500000000000e-01,7.800000000000000000e+01,1.800000000000000000e+02
-8.583984375000000000e+01,7.324218750000000000e+00,5.440000000000000000e+02,1.680000000000000000e+02
-7.382812500000000000e+01,7.324218750000000000e+00,5.320000000000000000e+02,1.240000000000000000e+02
-5.507812500000000000e+01,7.324218750000000000e+00,4.920000000000000000e+02,5.200000000000000000e+01
-3.486328125000000000e+01,7.324218750000000000e+00,4.300000000000000000e+02,0.000000000000000000e+00
-1.347656250000000000e+01,7.324218750000000000e+00,3.890000000000000000e+02,3.560000000000000000e+02
7.031250000000000000e+00,7.324218750000000000e+00,3.890000000000000000e+02,3.560000000000000000e+02
2.753906250000000000e+01,7.324218750000000000e+00,1.800000000000000000e+02,0.000000000000000000e+00
4.775390625000000000e+01,7.617187500000000000e+00,1.190000000000000000e+02,3.200000000000000000e+01
6.708984375000000000e+01,7.617187500000000000e+00,8.400000000000000000e+01,1.000000000000000000e+02
8.583984375000000000e+01,7.617187500000000000e+00,7.500000000000000000e+01,1.800000000000000000e+02
-8.583984375000000000e+01,1.728515625000000000e+01,5.380000000000000000e+02,1.700000000000000000e+02
-7.382812500000000000e+01,1.728515625000000000e+01,5.280000000000000000e+02,1.220000000000000000e+02
-5.507812500000000000e+01,1.728515625000000000e+01,4.870000000000000000e+02,5.000000000000000000e+01
-3.486328125000000000e+01,1.728515625000000000e+01,4.280000000000000000e+02,0.000000000000000000e+00
-1.347656250000000000e+01,1.728515625000000000e+01,3.890000000000000000e+02,3.560000000000000000e+02
7.031250000000000000e+00,1.757812500000000000e+01,3.890000000000000000e+02,3.560000000000000000e+02
2.753906250000000000e+01,1.757812500000000000e+01,1.800000000000000000e+02,0.000000000000000000e+00
4.746093750000000000e+01,1.757812500000000000e+01,1.180000000000000000e+02,3.000000000000000000e+01
6.708984375000000000e+01,1.757812500000000000e+01,8.200000000000000000e+01,1.000000000000000000e+02
8.583984375000000000e+01,1.757812500000000000e+01,7.300000000000000000e+01,1.780000000000000000e+02
-8.613281250000000000e+01,2.695312500000000000e+01,5.300000000000000000e+02,1.680000000000000000e+02
